rank,signal_priority,signal_type,code,name,latest_date,entry_date,entry_age,entry_close,entry_low,close,pct_chg,amount,amount_text,entry_pct_chg,entry_amount_text,entry_volume_ratio_20,entry_amount_ratio_20,volume_10_vs_entry,amount_10_vs_entry,ret_since_entry,max_ret_since_entry,post_entry_min_ret,post_entry_min_date,entry_close_retest_gap,recovered_from_post_entry_low,entry_close_retest_signal,breakout_entry_score,breakout_hold_signal,pullback_low_date,pullback_low_vs_entry_low,pullback_close_vs_entry_close,breakout_ret_since_entry,breakout_recovery_from_pullback,close_to_high_60,model_prob,rule_score,final_score,reason,trigger_date,trigger_age,trigger_close,trigger_pct_chg,trigger_body_pct,trigger_volume_vs_entry,trigger_amount_vs_entry,trigger_volume_ratio_20,entry_close_breakout_gap,macd_water_ok,macd_min_dif,macd_min_dea,ret_next,ret_next_pct
1,1,breakout_hold,601066,中信建投,2026-06-29,2026-05-26,21,23.72,22.35,29.46,6.24,3225919159.0,32.26亿,5.66,15.74亿,3.53,3.59,,,24.2,,,,,28.14,False,75.05,True,2026-05-29,2.86,2.82,24.2,28.14,-1.5,,100.0,100.0,21天前爆量突破、突破量3.5倍、回踩不破爆量低点、自回踩低点修复28.1%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.018669382213170493,1.8669382213170493
2,1,breakout_hold,605020,永和股份,2026-06-29,2026-05-14,29,31.3,28.71,41.67,6.36,2189195259.0,21.89亿,9.63,17.72亿,3.88,4.38,,,33.13,,,,,41.49,False,80.0,True,2026-05-19,2.58,0.13,33.13,41.49,6.36,,100.0,100.0,29天前爆量突破、突破量3.9倍、回踩不破爆量低点、自回踩低点修复41.5%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.0556755459563234,5.56755459563234
3,1,breakout_hold,603065,XD宿迁联,2026-06-29,2026-06-16,2,14.45,12.74,19.67,32.82,851419868.0,8.51亿,16.91,9.08亿,5.0,6.91,,,36.12,,,,,40.0,False,80.0,True,2026-06-17,10.28,2.49,36.12,40.0,23.71,,100.0,100.0,2天前爆量突破、突破量5.0倍、回踩不破爆量低点、自回踩低点修复40.0%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.02440264361972544,-2.440264361972544
4,1,breakout_hold,603125,常青科技,2026-06-29,2026-04-28,32,22.46,20.98,29.76,4.79,353866038.0,3.54亿,4.76,5.63亿,6.01,6.79,,,32.5,,,,,35.52,False,80.0,True,2026-05-06,4.67,1.51,32.5,35.52,2.06,,100.0,100.0,32天前爆量突破、突破量6.0倍、回踩不破爆量低点、自回踩低点修复35.5%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.06216397849462352,6.216397849462352
5,1,breakout_hold,600857,宁波中百,2026-06-29,2026-05-13,24,14.07,12.63,19.66,21.96,335670411.0,3.36亿,10.01,1.66亿,3.47,3.72,,,39.73,,,,,49.96,False,77.5,True,2026-05-18,3.8,4.48,39.73,49.96,12.54,,100.0,100.0,24天前爆量突破、突破量3.5倍、回踩不破爆量低点、自回踩低点修复50.0%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.11444557477110884,11.444557477110884
6,1,breakout_hold,603929,亚翔集成,2026-06-29,2026-06-10,10,222.06,205.0,276.2,19.11,4120810204.0,41.21亿,7.9,38.45亿,2.73,3.31,,,24.38,,,,,35.51,False,73.03,True,2026-06-23,-0.58,-5.07,24.38,35.51,11.53,,99.26,99.26,10天前爆量突破、突破量2.7倍、回踩不破爆量低点、自回踩低点修复35.5%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.06658218682114403,-6.658218682114403
7,1,breakout_hold,003004,声迅股份,2026-06-29,2026-05-26,19,54.74,47.52,76.65,7.05,422588534.0,4.23亿,10.01,2.89亿,2.51,2.88,,,40.03,,,,,47.12,False,67.34,True,2026-05-27,9.64,0.31,40.03,47.12,6.09,,99.21,99.21,19天前爆量突破、突破量2.5倍、回踩不破爆量低点、自回踩低点修复47.1%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.03483365949119355,3.4833659491193547
8,1,breakout_hold,002141,贤丰控股,2026-06-29,2026-06-16,4,3.89,3.49,5.18,15.11,1091586511.0,10.92亿,9.89,4.22亿,3.07,3.35,,,33.16,,,,,32.82,False,71.91,True,2026-06-17,11.75,10.03,33.16,32.82,0.0,,99.06,99.06,4天前爆量突破、突破量3.1倍、回踩不破爆量低点、自回踩低点修复32.8%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.059845559845559726,-5.984555984555973
9,1,breakout_hold,603386,骏亚科技,2026-06-29,2026-05-12,29,16.05,15.03,20.01,10.98,711404029.0,7.11亿,4.63,5.02亿,3.49,3.79,,,24.67,,,,,31.73,False,78.88,True,2026-05-14,1.06,-4.17,24.67,31.73,3.36,,98.19,98.19,29天前爆量突破、突破量3.5倍、回踩不破爆量低点、自回踩低点修复31.7%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.040479760119940145,-4.047976011994015
10,1,breakout_hold,000672,上峰材料,2026-06-29,2026-05-12,29,16.71,15.43,22.26,18.66,948488710.0,9.48亿,10.3,9.90亿,2.89,3.39,,,33.21,,,,,43.15,False,76.8,True,2026-06-08,0.78,-6.28,33.21,43.15,14.33,,97.08,97.08,29天前爆量突破、突破量2.9倍、回踩不破爆量低点、自回踩低点修复43.2%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.038634321653189474,3.8634321653189474
11,1,breakout_hold,603669,灵康药业,2026-06-29,2026-06-08,6,4.48,4.01,5.46,13.28,243196384.0,2.43亿,10.07,1.83亿,3.57,3.65,,,21.87,,,,,25.81,False,66.0,True,2026-06-09,8.23,4.69,21.87,25.81,6.64,,96.26,96.26,6天前爆量突破、突破量3.6倍、回踩不破爆量低点、自回踩低点修复25.8%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.0641025641025641,6.41025641025641
12,1,breakout_hold,000725,京东方Ａ,2026-06-29,2026-05-26,21,5.714,5.124,7.95,12.45,32489059965.0,324.89亿,8.43,279.31亿,3.81,4.36,,,39.13,,,,,57.3,False,80.0,True,2026-06-02,-1.37,-5.25,39.13,57.3,10.72,,95.44,95.44,21天前爆量突破、突破量3.8倍、回踩不破爆量低点、自回踩低点修复57.3%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.10314465408805029,10.31446540880503
13,1,contraction_retest,002170,芭田股份,2026-06-29,2025-11-07,145,12.99,,11.09,0.27,205626463.0,2.06亿,9.62,33.79亿,4.89,5.59,0.063,0.054,-14.63,10.16,-16.94,2025-11-21,-14.63,2.78,False,,False,,,,,,-18.75,99.16,86.41,95.08,145天前三倍爆量阳、进场量4.9倍、10日量缩至0.06、10日额缩至0.05、尚未主升,,,,,,,,,,,,,-0.0018034265103696878,-0.18034265103696878
14,1,breakout_hold,600378,昊华科技,2026-06-29,2026-06-08,12,49.828,45.108,68.53,2.06,5857973311.0,58.58亿,7.83,48.70亿,2.33,2.75,,,37.53,,,,,40.9,False,63.9,True,2026-06-09,7.83,5.18,37.53,40.9,-6.16,,95.03,95.03,12天前爆量突破、突破量2.3倍、回踩不破爆量低点、自回踩低点修复40.9%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.18196410331241797,18.196410331241797
15,1,breakout_hold,600397,江钨装备,2026-06-29,2026-06-18,4,20.2,17.98,27.5,7.8,3216436785.0,32.16亿,10.02,29.50亿,2.55,3.21,,,36.14,,,,,25.11,False,70.71,True,2026-06-22,22.25,10.0,36.14,25.11,2.34,,94.97,94.97,4天前爆量突破、突破量2.5倍、回踩不破爆量低点、自回踩低点修复25.1%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.08909090909090911,8.90909090909091
16,1,contraction_retest,001317,三羊马,2026-06-29,2025-12-17,121,57.2,,39.01,-11.94,148720918.0,1.49亿,10.0,10.71亿,5.12,6.1,0.295,0.266,-31.8,5.8,-31.8,2026-06-29,-31.8,0.0,False,,False,,,,,,-37.06,99.86,82.53,94.32,121天前三倍爆量阳、进场量5.1倍、10日量缩至0.30、10日额缩至0.27、尚未主升,,,,,,,,,,,,,0.026147141758523507,2.6147141758523507
17,1,breakout_hold,002955,鸿合科技,2026-06-29,2026-06-05,11,27.25,25.2,32.5,-6.02,314759919.0,3.15亿,7.54,3.47亿,3.39,3.56,,,19.27,,,,,20.37,False,75.93,True,2026-06-08,7.14,1.03,19.27,20.37,-7.38,,94.3,94.3,11天前爆量突破、突破量3.4倍、回踩不破爆量低点、自回踩低点修复20.4%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.09784615384615392,9.784615384615392
18,1,breakout_hold,603995,甬金股份,2026-06-29,2026-05-26,15,19.28,17.36,22.44,4.96,295889082.0,2.96亿,10.3,3.45亿,2.82,2.83,,,16.39,,,,,27.5,False,61.23,True,2026-06-09,1.38,-0.21,16.39,27.5,2.56,,94.06,94.06,15天前爆量突破、突破量2.8倍、回踩不破爆量低点、自回踩低点修复27.5%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.04411764705882337,4.411764705882337
19,1,breakout_hold,603678,火炬电子,2026-06-29,2026-06-02,16,58.53,51.42,80.43,17.76,3631148038.0,36.31亿,10.02,26.51亿,1.68,2.2,,,37.42,,,,,52.88,False,51.0,True,2026-06-09,2.31,1.86,37.42,52.88,7.53,,93.94,93.94,16天前爆量突破、突破量1.7倍、回踩不破爆量低点、自回踩低点修复52.9%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.08790252393385534,8.790252393385533
20,1,breakout_hold,600237,铜峰电子,2026-06-29,2026-05-22,23,9.94,9.49,13.01,10.16,1451603423.0,14.52亿,5.63,7.59亿,2.74,2.84,,,30.89,,,,,34.68,False,54.5,True,2026-06-12,1.79,-2.31,30.89,34.68,3.25,,93.92,93.92,23天前爆量突破、突破量2.7倍、回踩不破爆量低点、自回踩低点修复34.7%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.08224442736356652,8.224442736356652
21,1,breakout_hold,002972,科安达,2026-06-29,2026-06-16,4,15.8,14.34,18.1,4.68,289242311.0,2.89亿,8.67,5.44亿,4.41,5.06,,,14.56,,,,,14.48,False,80.0,True,2026-06-17,10.25,4.81,14.56,14.48,4.2,,93.63,93.63,4天前爆量突破、突破量4.4倍、回踩不破爆量低点、自回踩低点修复14.5%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.04972375690607733,4.972375690607733
22,1,breakout_hold,000032,深桑达Ａ,2026-06-29,2026-06-12,8,18.92,16.6,24.08,-4.97,2033198278.0,20.33亿,10.0,18.96亿,3.24,3.26,,,27.27,,,,,28.43,False,63.94,True,2026-06-15,12.95,9.99,27.27,28.43,-5.72,,93.55,93.55,8天前爆量突破、突破量3.2倍、回踩不破爆量低点、自回踩低点修复28.4%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.0033222591362125353,-0.33222591362125353
23,1,breakout_hold,603005,晶方科技,2026-06-29,2026-05-22,23,39.14,35.43,48.97,-1.33,7345977601.0,73.46亿,8.48,58.55亿,2.62,2.89,,,25.11,,,,,30.8,False,60.51,True,2026-06-02,5.67,-1.3,25.11,30.8,-3.03,,93.05,93.05,23天前爆量突破、突破量2.6倍、回踩不破爆量低点、自回踩低点修复30.8%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.07514804982642431,7.514804982642431
24,1,breakout_hold,002636,金安国纪,2026-06-29,2026-06-11,9,84.8,77.44,114.95,-0.74,3722842927.0,37.23亿,9.53,74.50亿,1.85,2.78,,,35.55,,,,,32.25,False,58.26,True,2026-06-12,12.24,5.99,35.55,32.25,-2.84,,92.84,92.84,9天前爆量突破、突破量1.9倍、回踩不破爆量低点、自回踩低点修复32.2%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.03123096998695085,-3.123096998695085
25,1,breakout_hold,600141,兴发集团,2026-06-29,2026-06-15,5,36.742,33.472,47.88,14.08,5577077797.0,55.77亿,9.18,29.30亿,2.33,2.58,,,30.31,,,,,31.82,False,53.54,True,2026-06-17,8.51,0.98,30.31,31.82,14.08,,92.83,92.83,5天前爆量突破、突破量2.3倍、回踩不破爆量低点、自回踩低点修复31.8%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.04615705931495406,-4.615705931495406
26,1,breakout_hold,600400,红豆股份,2026-06-29,2026-04-27,33,2.43,2.2,3.11,16.48,277871531.0,2.78亿,9.95,2.94亿,3.23,3.56,,,27.98,,,,,32.34,False,76.06,True,2026-04-28,6.82,0.41,27.98,32.34,-5.76,,92.82,92.82,33天前爆量突破、突破量3.2倍、回踩不破爆量低点、自回踩低点修复32.3%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.112540192926045,11.2540192926045
27,1,contraction_retest,002712,思美传媒,2026-06-29,2025-11-24,134,6.43,,4.18,-7.52,60013696.0,6001.37万,9.17,6.11亿,5.56,5.91,0.15,0.114,-34.99,12.13,-34.99,2026-06-29,-34.99,0.0,False,,False,,,,,,-29.27,94.74,87.72,92.49,134天前三倍爆量阳、进场量5.6倍、10日量缩至0.15、10日额缩至0.11、尚未主升,,,,,,,,,,,,,0.021531100478468845,2.1531100478468845
28,1,breakout_hold,002046,国机精工,2026-06-29,2026-06-08,12,60.174,52.004,73.8,5.5,2102454304.0,21.02亿,10.04,24.28亿,2.01,2.06,,,22.64,,,,,30.36,False,46.72,True,2026-06-11,8.86,-4.39,22.64,30.36,5.5,,92.18,92.18,12天前爆量突破、突破量2.0倍、回踩不破爆量低点、自回踩低点修复30.4%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.04539295392953924,-4.539295392953924
29,1,breakout_hold,002859,洁美科技,2026-06-29,2026-06-02,16,80.4,70.1,114.15,26.66,4460491709.0,44.60亿,7.13,24.89亿,1.78,2.22,,,41.98,,,,,53.02,False,51.83,True,2026-06-12,6.42,-6.37,41.98,53.02,9.68,,92.14,92.14,16天前爆量突破、突破量1.8倍、回踩不破爆量低点、自回踩低点修复53.0%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.037231712658782334,-3.7231712658782334
30,1,breakout_hold,000823,超声电子,2026-06-29,2026-06-11,9,19.1,16.81,25.94,10.29,4315858599.0,43.16亿,6.88,21.58亿,1.8,1.93,,,35.81,,,,,42.14,False,47.29,True,2026-06-12,8.57,-4.4,35.81,42.14,3.76,,92.09,92.09,9天前爆量突破、突破量1.8倍、回踩不破爆量低点、自回踩低点修复42.1%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.0023130300693907646,0.23130300693907646
31,1,contraction_retest,000816,智慧农业,2026-06-29,2025-10-24,159,3.53,,2.27,-6.97,59176372.0,5917.64万,4.13,8.39亿,4.68,5.09,0.106,0.072,-35.69,20.68,-35.69,2026-06-29,-35.69,0.0,False,,False,,,,,,-33.63,97.74,78.82,91.69,159天前三倍爆量阳、进场量4.7倍、10日量缩至0.11、10日额缩至0.07、尚未主升,,,,,,,,,,,,,0.048458149779735615,4.8458149779735615
32,1,breakout_hold,002056,横店东磁,2026-06-29,2026-05-25,22,22.41,20.4,28.83,5.03,2666679383.0,26.67亿,13.3,20.41亿,2.8,3.03,,,28.65,,,,,29.81,False,56.41,True,2026-05-26,8.87,2.0,28.65,29.81,-2.76,,91.33,91.33,22天前爆量突破、突破量2.8倍、回踩不破爆量低点、自回踩低点修复29.8%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.06694415539368714,6.694415539368714
33,1,breakout_hold,600360,华微电子,2026-06-29,2026-05-27,20,11.139,10.399,14.24,6.59,1817690837.0,18.18亿,5.49,12.76亿,2.36,2.28,,,27.84,,,,,32.96,False,45.13,True,2026-06-12,2.99,-3.67,27.84,32.96,1.43,,91.24,91.24,20天前爆量突破、突破量2.4倍、回踩不破爆量低点、自回踩低点修复33.0%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.0070224719101122934,-0.7022471910112293
34,1,breakout_hold,002138,顺络电子,2026-06-29,2026-06-05,13,55.61,48.8,74.74,10.27,5546855590.0,55.47亿,10.01,42.83亿,1.56,1.85,,,34.4,,,,,38.51,False,45.77,True,2026-06-08,10.57,0.09,34.4,38.51,-1.01,,91.22,91.22,13天前爆量突破、突破量1.6倍、回踩不破爆量低点、自回踩低点修复38.5%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.0018731602890018628,-0.18731602890018628
35,1,contraction_retest,600171,上海贝岭,2026-06-29,2026-01-16,101,34.2,,30.88,10.29,1288330020.0,12.88亿,3.98,20.53亿,3.3,3.44,0.3,0.247,-9.71,0.76,-23.89,2026-04-03,-9.71,18.63,False,,False,,,,,,-3.08,99.97,72.46,91.17,101天前三倍爆量阳、进场量3.3倍、10日量缩至0.30、10日额缩至0.25、接近60日高点、站上20/60日线、尚未主升,,,,,,,,,,,,,0.004857512953367893,0.4857512953367893
36,2,entry_close_breakout,000691,亚太实业,2026-06-29,2026-06-01,11,9.32,,11.66,0.69,334294160.0,3.34亿,8.5,3.11亿,4.21,4.44,0.417,0.417,25.11,,,,,16.72,False,,False,,,,,,-1.85,,90.77,90.77,11天前三倍爆量阳、进场量4.2倍、缩量至0.42、3天前阳线突破爆量收盘、MACD水上、突破量低于进场量0.58、站上20/60日线,2026-06-11,3.0,9.99,6.39,7.42,0.58,0.642,1.77,7.19,True,0.2135,0.1359,0.0008576329331047017,0.08576329331047017
37,1,contraction_retest,002356,赫美集团,2026-06-29,2025-07-11,224,4.07,,2.78,-11.18,55141445.0,5514.14万,10.0,7.17亿,7.57,8.38,0.208,0.174,-31.7,15.72,-31.7,2026-06-29,-31.7,0.0,False,,False,,,,,,-38.22,99.82,70.15,90.32,224天前三倍爆量阳、进场量7.6倍、10日量缩至0.21、10日额缩至0.17、尚未主升,,,,,,,,,,,,,0.043165467625899234,4.316546762589923
38,1,breakout_hold,600459,贵研铂业,2026-06-29,2026-06-02,16,23.45,20.91,29.17,13.06,2139804649.0,21.40亿,9.99,12.76亿,1.86,1.96,,,24.39,,,,,30.69,False,42.17,True,2026-06-10,6.74,-2.64,24.39,30.69,1.67,,90.31,90.31,16天前爆量突破、突破量1.9倍、回踩不破爆量低点、自回踩低点修复30.7%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.030853616729516697,-3.0853616729516697
39,1,contraction_retest,002882,金龙羽,2026-06-29,2026-01-13,100,37.12,,18.37,-15.27,88128862.0,8812.89万,8.54,12.62亿,3.4,3.73,0.139,0.08,-50.51,0.0,-50.51,2026-06-29,-50.51,0.0,False,,False,,,,,,-40.72,94.26,81.55,90.2,100天前三倍爆量阳、进场量3.4倍、10日量缩至0.14、10日额缩至0.08、尚未主升,,,,,,,,,,,,,0.03048448557430583,3.048448557430583
40,1,breakout_hold,002137,实益达,2026-06-29,2026-06-02,16,9.45,8.49,11.3,10.68,984988069.0,9.85亿,10.01,4.23亿,2.25,2.31,,,19.58,,,,,24.86,False,58.11,True,2026-06-12,6.6,-2.65,19.58,24.86,-4.8,,90.16,90.16,16天前爆量突破、突破量2.2倍、回踩不破爆量低点、自回踩低点修复24.9%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.046902654867256754,-4.690265486725675
41,1,contraction_retest,002400,省广集团,2026-06-29,2025-11-24,140,9.73,,6.19,-7.61,326962898.0,3.27亿,10.07,42.48亿,3.0,3.23,0.137,0.102,-36.38,41.93,-36.38,2026-06-29,-36.38,0.0,False,,False,,,,,,-37.35,99.92,69.22,90.1,140天前三倍爆量阳、进场量3.0倍、10日量缩至0.14、10日额缩至0.10、尚未主升,,,,,,,,,,,,,0.03231017770597733,3.2310177705977328
42,1,breakout_hold,600460,士兰微,2026-06-29,2026-06-17,5,40.83,37.84,52.59,5.16,13706877935.0,137.07亿,6.66,79.71亿,1.74,1.96,,,28.8,,,,,30.01,False,48.54,True,2026-06-18,6.9,2.45,28.8,30.01,3.52,,90.0,90.0,5天前爆量突破、突破量1.7倍、回踩不破爆量低点、自回踩低点修复30.0%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.010648412245674033,1.0648412245674033
43,1,breakout_hold,002303,美盈森,2026-06-29,2026-06-16,2,3.64,3.27,4.26,11.23,448865278.0,4.49亿,18.57,2.92亿,4.85,5.04,,,17.03,,,,,19.33,False,67.53,True,2026-06-17,9.17,5.22,17.03,19.33,10.08,,90.0,90.0,2天前爆量突破、突破量4.8倍、回踩不破爆量低点、自回踩低点修复19.3%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.009389671361502261,0.9389671361502261
44,1,breakout_hold,600563,法拉电子,2026-06-29,2026-05-19,26,147.6,131.0,189.4,5.95,3236205674.0,32.36亿,10.0,19.16亿,1.75,1.96,,,28.32,,,,,33.85,False,48.43,True,2026-06-12,8.02,-3.12,28.32,33.85,3.57,,89.87,89.87,26天前爆量突破、突破量1.7倍、回踩不破爆量低点、自回踩低点修复33.9%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.03616684266103487,-3.616684266103487
45,1,contraction_retest,600509,天富能源,2026-06-29,2025-09-15,180,8.44,,8.17,-5.11,345611945.0,3.46亿,6.7,18.09亿,2.74,3.17,0.21,0.208,-3.2,22.39,-9.95,2026-04-07,-3.2,7.5,True,,False,,,,,,-28.08,99.99,68.3,89.85,180天前三倍爆量阳、进场量2.7倍、10日量缩至0.21、10日额缩至0.21、先跌后回测爆量收盘、尚未主升,,,,,,,,,,,,,0.13831089351285208,13.831089351285208
46,1,contraction_retest,001205,盛航股份,2026-06-29,2026-03-03,71,17.83,,13.86,-2.19,107172209.0,1.07亿,5.5,4.79亿,4.84,5.1,0.18,0.141,-22.27,0.0,-22.99,2026-06-10,-22.27,0.95,False,,False,,,,,,-10.98,94.22,79.72,89.58,71天前三倍爆量阳、进场量4.8倍、10日量缩至0.18、10日额缩至0.14、尚未主升,,,,,,,,,,,,,0.0043290043290042934,0.43290043290042934
47,1,contraction_retest,603527,众源新材,2026-06-29,2026-03-12,66,12.39,,11.85,-19.55,288330888.0,2.88亿,10.04,6.83亿,6.36,6.8,0.489,0.555,-4.36,20.26,-23.65,2026-03-23,-4.36,25.26,True,,False,,,,,,-23.3,99.26,67.66,89.15,66天前三倍爆量阳、进场量6.4倍、10日量缩至0.49、10日额缩至0.56、先跌后回测爆量收盘、尚未主升,,,,,,,,,,,,,0.0042194092827005925,0.42194092827005925
48,1,breakout_hold,002106,莱宝高科,2026-06-29,2026-05-25,22,11.86,11.34,15.93,13.14,1705494777.0,17.05亿,4.86,4.08亿,2.25,2.4,,,34.32,,,,,38.16,False,44.28,True,2026-06-01,1.68,-0.51,34.32,38.16,2.91,,88.97,88.97,22天前爆量突破、突破量2.2倍、回踩不破爆量低点、自回踩低点修复38.2%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.1330822347771501,13.308223477715009
49,1,breakout_hold,600234,科新发展,2026-06-29,2026-04-20,38,21.91,20.12,29.15,6.78,243710669.0,2.44亿,9.99,3.51亿,2.88,3.72,,,33.04,,,,,34.33,False,76.41,True,2026-04-22,7.85,11.23,33.04,34.33,-8.96,,88.79,88.79,38天前爆量突破、突破量2.9倍、回踩不破爆量低点、自回踩低点修复34.3%、站上20/60日线,,,,,,,,,,,,,-0.08542024013722127,-8.542024013722127
50,1,breakout_hold,000920,沃顿科技,2026-06-29,2026-06-10,8,13.82,12.64,15.7,11.27,302802819.0,3.03亿,7.83,5.51亿,2.78,2.97,,,13.6,,,,,23.27,False,62.97,True,2026-06-11,0.76,-2.92,13.6,23.27,2.01,,88.57,88.57,8天前爆量突破、突破量2.8倍、回踩不破爆量低点、自回踩低点修复23.3%、站上20/60日线、接近60日高点,,,,,,,,,,,,,-0.026114649681528657,-2.6114649681528657
51,1,breakout_hold,600888,新疆众和,2026-06-29,2026-05-22,23,10.18,9.2,14.96,2.12,2332437899.0,23.32亿,8.64,9.79亿,2.29,2.49,,,46.95,,,,,53.12,False,56.86,True,2026-06-09,6.2,0.69,46.95,53.12,1.01,,88.46,88.46,23天前爆量突破、突破量2.3倍、回踩不破爆量低点、自回踩低点修复53.1%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.0721925133689838,7.21925133689838
52,1,breakout_hold,002579,中京电子,2026-06-29,2026-05-26,21,15.04,13.57,20.5,5.89,2666219473.0,26.66亿,10.02,15.38亿,2.01,2.18,,,36.3,,,,,36.58,False,52.72,True,2026-06-12,10.61,0.4,36.3,36.58,-6.82,,88.36,88.36,21天前爆量突破、突破量2.0倍、回踩不破爆量低点、自回踩低点修复36.6%、站上20/60日线、接近60日高点,,,,,,,,,,,,,0.044390243902439064,4.439024390243906
